politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
182902,Wolfgang Dahler,CDU/CSU,Rechtsanwalt,1975.0,,m,Studium der Rechtswissenschaft,7.227375,0.31828183
141110,Gottfried Curio,AfD,MdB,1960.0,,m,"Diplom-Mathematiker, Diplom-Physiker",-3.9966493,-8.606086
121492,Jürgen Coße,SPD,MdB,1969.0,,m,Bürokaufmann,6.919233,-0.95099497
183230,Agnes Maria Conrad,Die Linke,Bundestagsabgeordnete ,1997.0,,f,"Referentin Konzernbetriebsrat, Bachelor Politikwissenschaften & Soziologie",-8.022814,9.094487
79418,Gitta Connemann,CDU/CSU,MdB,1964.0,,f,"Rechtsanwältin, Verkäuferin",7.238526,0.31433034
145755,Tino Chrupalla,AfD,MdB,1975.0,,m,Maler- und Lackierermeister,-4.187005,-9.144469
146135,Jörg Cezanne,Die Linke,Mitglied des Bundestags,1958.0,,m,Soziologe,-7.9568934,9.123809
79416,Lars Castellucci,SPD,MdB,1974.0,Prof. Dr.,m,"Professor für Nachhaltiges Management, Integrations- und Diversity Management",7.224952,0.3333394
182819,Sandra Carstensen,CDU/CSU,Personalleiterin,,,f,Juristin,7.250751,0.29856133
175436,Isabel Cademartori,SPD,MdB,1988.0,,f,B.Sc. Betriebswirtschaftslehre & M.Sc. Wirtschaftspädagogik,7.1468954,0.28758207
175334,Clara Bünger,Die Linke,Abgeordnete,1986.0,,f,Volljuristin,-7.9491887,9.185071
150299,Marcus Bühl,AfD,"MdB, selbstständig im Bereich Neue Medien",1977.0,,m,Dipl. Informatiker,-5.6687446,-10.107552
182866,Benedikt Büdenbender,CDU/CSU,Kommunikationsberater,1989.0,,m,,7.2443376,0.3181917
175138,Janina Böttger,Die Linke,Wissenschaftliche Referentin,1982.0,,f,Europäische Diplom-Verwaltungsmanagerin,-7.752794,9.187879
120205,Karl Bär,BÜNDNIS 90/­DIE GRÜNEN,,1985.0,,m,,-3.1274686,8.012638
79468,Dorothee Bär,CDU/CSU,MdB,1978.0,,f,Diplom-Politologin,7.302837,0.33150557
175892,Yannick Bury,CDU/CSU,MdB,1990.0,,m,Master of Science VWL,3.93809,0.053551726
179348,Maik Brückner,Die Linke,Angestellter,1992.0,,m,"Mediengestalter, Branding Designer M.A.",-8.077911,9.131871
175870,Marlon Bröhr,CDU/CSU,Landrat des Rhein-Hunsrück-Kreises,1974.0,Dr.,m,Zahnarzt,7.2538733,0.34309745
78878,Agnieszka Brugger,BÜNDNIS 90/­DIE GRÜNEN,MdB und Stellvertretende Fraktionsvorsitzende,1985.0,,f,"Politikwissenschaft, Philosophie und Öffentliches Recht",-3.072266,7.689361
184131,Erhard Brucker,AfD,,,,m,,-4.013089,-8.697132
175676,Victoria Broßart,BÜNDNIS 90/­DIE GRÜNEN,Ingenieurin,1992.0,,f,B.Eng. Elektrotechnik/Automation,-3.042382,7.7596116
145870,Carsten Brodesser,CDU/CSU,MdB,1967.0,Dr.,m,Diplom-Volkswirt,7.240502,0.2774963
182830,Lutz Brinkmann,CDU/CSU,,1975.0,,m,selbst. Dipl. Bauingenieur,7.2635427,0.30985972
79434,Ralph Brinkhaus,CDU/CSU,MdB,1968.0,,m,"Diplom-Ökonom, Steuerberater",7.286036,0.30099326
183172,Anne-Mieke Bremer,Die Linke,Schulsozialarbeiterin,1991.0,,f,Sozialarbeiterin,1.6255801,11.3197
145863,Silvia Breher,CDU/CSU,MdB,1973.0,,f,Juristin,7.2565503,0.3569788
79429,Franziska Brantner,BÜNDNIS 90/­DIE GRÜNEN,MdB,1979.0,Dr.,f,Promotion Politik,-2.480918,7.852381
32337,Stephan Brandner,AfD,MdB,1966.0,,m,Rechtsanwalt und Industriekaufmann,-3.9527073,-8.72962
79427,Reinhard Brandl,CDU/CSU,MdB,1977.0,Dr.,m,Dipl. Wirtschaftsingenieur,7.251963,0.41390964
175915,Dirk Brandes,AfD,Fraktionsgeschäftsführer,1974.0,,m,"Betriebswirt VWL, Industriekaufmann",-4.7848787,-9.2159605
78881,Michael Brand,CDU/CSU,Mitglied Deutscher Bundestag,1973.0,,m,"Studium der Politikwissenschaft, Geschichte und Rechtswissenschaft",7.2582674,0.34954593
170159,Torben Braga,AfD,Parlamentarischer Berater,1991.0,,m,M.A. Politikwissenschaft,-5.2648544,-8.885128
179823,Frederik Bouffier,CDU/CSU,MdB,1990.0,,m,Rechtsanwalt,7.2544603,0.301462
184315,Jorrit Bosch,Die Linke,,1997.0,,m,,-7.9802365,9.155974
182852,Caroline Bosbach,CDU/CSU,,,,f,Studium Wirtschaftskommunikation,7.241176,0.31765035
165049,Simone Borchardt,CDU/CSU,MdB | gesundheitspolitische Sprecherin der CDU/CSU-Bundestagsfraktion,1967.0,,f,Master of Health Business Administration,7.222347,0.31597972
182942,Hendrik Bollmann,SPD,Oberstudienrat,1982.0,,m,,7.2155185,0.3032601
147321,Gereon Bollmann,AfD,"Richter am Oberlandesgericht (a.D.), MdB",1953.0,,m,Jurist,-4.8673477,-9.177692
130612,Peter Bohnhof,AfD,Selbstständiger Rechtsanwalt,1962.0,,m,,-3.0109408,-8.199857
145817,Peter Boehringer,AfD,MdB,1969.0,,m,Diplom Informatiker und Kaufmann,-3.828177,-8.660598
182817,Leif Bodin,CDU/CSU,"Jurist, Mitarbeiter bei Abgeordneten",1996.0,,m,Jurist,7.2618585,0.297939
159437,Violetta Bock,Die Linke,Geschäftsführerin,1987.0,,f,MA Global Political Economy,-7.1703353,9.180199
168306,René Bochmann,AfD,MdB,1969.0,,m,Bürokaufmann,-4.832272,-8.694584
174144,Michael Blos,AfD,"Umwelt- und Ingenieurgeologe, Geowissenschaftler",1976.0,Dr.,m,Diplom-Geologe,-3.9614675,-8.617168
175933,Joachim Bloch,AfD,,,,m,,-4.0039296,-8.749285
145789,Andreas Bleck,AfD,,1988.0,,m,,-3.8507037,-8.326045
175437,Jakob Blankenburg,SPD,MdB,1997.0,,m,"Politikwissenschaft, B.A.",7.2257013,0.32167652
165159,Christoph Birghan,AfD,,,Dr.,m,,-3.9805808,-8.747377
175849,Florian Bilic,CDU/CSU,Hauptgeschäftsführer Pfälzerwald-Verein,1994.0,,m,,7.2528934,0.30427215
79444,Steffen Bilger,CDU/CSU,MdB,1979.0,,m,Volljurist,7.2497506,0.31962138
145893,Marc Biadacz,CDU/CSU,MdB,1979.0,,m,Sozialwissenschaftler (M.A.),7.1964254,0.31532767
79446,Peter Beyer,CDU/CSU,MdB,1970.0,,m,Studium der Rechtswissenschaften,7.214647,0.3632129
146046,Lorenz Gösta Beutin,Die Linke,,1978.0,,m,M.A. Historiker,-7.1666436,8.403651
182947,Daniel Bettermann,SPD,Angestellter,1980.0,,m,Masterabschluss Politikwissenschaften,7.1943126,0.3229095
31218,Birgit Bessin,AfD,MdL,1978.0,,f,Wirtschaftsjuristin,-3.8884537,-8.567027
145860,Melanie Bernstein,CDU/CSU,MdB,1976.0,,f,Kulturwissenschaftlerin,7.219919,0.30682582
108754,Marc Bernhard,AfD,MdB,,,m,"Rechtsanwalt, MBA",-5.6124053,-9.383752
130480,Lukas Benner,BÜNDNIS 90/­DIE GRÜNEN,Doktorand,1996.0,,m,Jurist,-2.8402271,7.4351287
178435,Jens Behrens,SPD,Filialleiter Sparkasse Hellweg Lippe,1978.0,,m,Bankkaufmann,7.229886,0.30017233
178606,Sascha van Beek,CDU/CSU,"Beauftragter für Kommunen und Kooperationen, SL NaturEnergie",1983.0,,m,"Gesundheits- und Krankenpfleger, MSc Disaster Healthcare",6.451264,0.22583158
180058,Desiree Becker,Die Linke,Gewerkschaftssekretärin,1994.0,,f,,-8.015213,9.124838
177567,Carsten Becker,AfD,Facharbeiter,1990.0,,m,Elektroniker für Betriebstechnik,-3.4502997,-8.343885
175596,Katharina Beck,BÜNDNIS 90/­DIE GRÜNEN,Unternehmensberaterin für Nachhaltigkeit,1982.0,,f,"Diplom Regionalwissenschaftlerin, Finanzbetriebswirtin (IWW)",-3.283097,7.864585
182891,Günter Baumgartner,CDU/CSU,Vorstandsassistent bei der Sparkasse Rottal-Inn,,,m,,7.211436,0.3093434
66273,Bernd Baumann,AfD,MdB,1958.0,Dr.,m,Promotion Wirtschaftswissenschaften,-4.032335,-8.483304
29476,Christina Baum,AfD,MdB,1956.0,Dr.,f,Fachzahnärztin für Allgemeine Stomatologie,-5.5360985,-9.797413
183247,Marcel Bauer,Die Linke,,1992.0,,m,"Forstwirt, Natur- und Landschaftspfleger",-6.164848,10.322767
79455,Bärbel Bas,SPD,MdB,1968.0,,f,Personalmanagement-Ökonomin (VWA),7.269191,0.297394
79454,Dietmar Bartsch,Die Linke,MdB,1958.0,Dr.,m,Wirtschaftswissenschaftler,-7.9049435,8.863779
78884,Sören Bartol,SPD,MdB,1974.0,,m,Diplom-Politologe,7.2628603,0.31891862
79465,Thomas Bareiß,CDU/CSU,MdB,1975.0,,m,Dipl. Betriebswirt (BA),7.3585896,0.35714513
145959,Felix Banaszak,BÜNDNIS 90/­DIE GRÜNEN,MdB,1989.0,,m,Sozial- und Kulturanthropologie & Politikwissenschaften,-2.9758558,7.664033
